band,wavelength_nm
1,452.3256495
2,457.3356495
3,462.34564950000004
4,467.3556495
5,472.35564949999997
6,477.36564949999996
7,482.3756495
8,487.3856495
9,492.3956495
10,497.4056495
11,502.4156495
12,507.4256495
13,512.4256495000001
14,517.4356495
15,522.4456495000001
16,527.4556495
17,532.4656494999999
18,537.4756495
19,542.4856495
20,547.4856495
21,552.4956495
22,557.5056495
23,562.5156495
24,567.5256495
25,572.5356495
26,577.5456495
27,582.5556495000001
28,587.5556495000001
29,592.5656495000001
30,597.5756494999999
31,602.5856495
32,607.5956495
33,612.6056494999999
34,617.6156495
35,622.6156495
36,627.6256495
37,632.6356495
38,637.6456495
39,642.6556495
40,647.6656495000001
41,652.6756495
42,657.6856495
43,662.6856495
44,667.6956495000001
45,672.7056495
46,677.7156494999999
47,682.7256495
48,687.7356495
49,692.7456494999999
50,697.7456494999999
51,702.7556495
52,707.7656495
53,712.7756495000001
54,717.7856495
55,722.7956495
56,727.8056495000001
57,732.8156495
58,737.8156495
59,742.8256494999999
60,747.8356495
61,752.8456495
62,757.8556494999999
63,762.8656495
64,767.8756495
65,772.8756495
66,777.8856495
67,782.8956495
68,787.9056495
69,792.9156495000001
70,797.9256495
71,802.9356495
72,807.9456495000001
73,812.9456495000001
74,817.9556494999999
75,822.9656494999999
76,827.9756495
77,832.9856495
78,837.9956495
79,843.0056495
80,848.0056495
81,853.0156495
82,858.0256495000001
83,863.0356495
84,868.0456495
85,873.0556495000001
86,878.0656495
87,883.0756494999999
88,888.0756494999999
89,893.0856495
90,898.0956495
91,903.1056495
92,908.1156495
93,913.1256495
94,918.1356495
95,923.1456495
96,928.1456495
97,933.1556495
98,938.1656495000001
99,943.1756495
100,948.1856495
101,953.1956495000001
102,958.2056494999999
103,963.2056494999999
104,968.2156495
105,973.2256495
106,978.2356495
107,983.2456495
108,988.2556495
109,993.2656495
110,998.2756495
111,1003.2756494999999
112,1008.2856495000001
113,1013.2956495000001
114,1018.3056495000001
115,1023.3156495
116,1028.3256494999998
117,1033.3356494999998
118,1038.3356495
119,1043.3456495
120,1048.3556495
121,1053.3656494999998
122,1058.3756495
123,1063.3856495
124,1068.3956495
125,1073.4056495
126,1078.4056495
127,1083.4156495
128,1088.4256495
129,1093.4356495
130,1098.4456495
131,1103.4556495000002
132,1108.4656495
133,1113.4656495
134,1118.4756495
135,1123.4856495000001
136,1128.4956495000001
137,1133.5056495
138,1138.5156494999999
139,1143.5256494999999
140,1148.5356495
141,1153.5356495
142,1158.5456494999999
143,1163.5556494999998
144,1168.5656495
145,1173.5756495
146,1178.5856495
147,1183.5956495
148,1188.5956495
149,1193.6056495
150,1198.6156495
151,1203.6256495
152,1208.6356495
153,1213.6456495
154,1218.6556495
155,1223.6656495
156,1228.6656495
157,1233.6756495000002
158,1238.6856495
159,1243.6956495
160,1248.7056495
161,1253.7156495
162,1258.7256495000001
163,1263.7256495
164,1268.7356495
165,1273.7456495
166,1278.7556495000001
167,1283.7656495
168,1288.7756495
169,1293.7856494999999
170,1298.7956494999999
171,1303.7956495
172,1308.8056495
173,1313.8156495
174,1318.8256494999998
175,1323.8356495
176,1328.8456495
177,1333.8556495
178,1338.8556494999998
179,1484.1156495
180,1489.1156495
181,1494.1256495
182,1499.1356495
183,1504.1456495
184,1509.1556495
185,1514.1656495
186,1519.1756495
187,1524.1856495
188,1529.1856495
189,1534.1956495
190,1539.2056495
191,1544.2156495
192,1549.2256495000001
193,1554.2356495000001
194,1559.2456495
195,1564.2456495
196,1569.2556495000001
197,1574.2656495
198,1579.2756495
199,1584.2856494999999
200,1589.2956494999999
201,1594.3056495
202,1599.3156495
203,1604.3156494999998
204,1609.3256494999998
205,1614.3356495
206,1619.3456495
207,1624.3556495
208,1629.3656495
209,1634.3756495
210,1639.3756495
211,1644.3856495
212,1649.3956495
213,1654.4056495
214,1659.4156495000002
215,1664.4256495
216,1669.4356495
217,1674.4456495
218,1679.4456495000002
219,1684.4556495
220,1689.4656495
221,1694.4756495
222,1699.4856495
223,1704.4956495000001
224,1709.5056495000001
225,1714.5056495
226,1719.5156494999999
227,1724.5256495
228,1729.5356495
229,1734.5456495
230,1739.5556495
231,1744.5656494999998
232,1749.5756495
233,1754.5756495
234,1759.5856495
235,1764.5956494999998
236,1769.6056495
237,1774.6156495
238,1779.6256495
239,1784.6356495
240,1789.6356495
241,1794.6456495
242,1799.6556495
243,1984.9756495
244,1989.9856495
245,1994.9956495000001
246,2000.0056495
247,2005.0156495
248,2010.0256495
249,2015.0356495
250,2020.0356495
251,2025.0456495
252,2030.0556494999998
253,2035.0656494999998
254,2040.0756494999998
255,2045.0856494999998
256,2050.0956494999996
257,2055.0956495
258,2060.1056495000003
259,2065.1156495
260,2070.1256495
261,2075.1356495
262,2080.1456494999998
263,2085.1556495
264,2090.1656494999997
265,2095.1656495
266,2100.1756495
267,2105.1856495
268,2110.1956495
269,2115.2056495
270,2120.2156495
271,2125.2256495
272,2130.2256494999997
273,2135.2356495000004
274,2140.2456495
275,2145.2556495000003
276,2150.2656495
277,2155.2756495
278,2160.2856495
279,2165.2956495
280,2170.2956495
281,2175.3056494999996
282,2180.3156495
283,2185.3256495
284,2190.3356495000003
285,2195.3456495
286,2200.3556495000003
287,2205.3556495
288,2210.3656495
289,2215.3756495
290,2220.3856495
291,2225.3956494999998
292,2230.4056495
293,2235.4156495
294,2240.4256495
295,2245.4256495
296,2250.4356495
297,2255.4456495
298,2260.4556494999997
299,2265.4656495
300,2270.4756494999997
301,2275.4856495000004
302,2280.4856495
303,2285.4956495
304,2290.5056495
305,2295.5156495
306,2300.5256495
307,2305.5356495
308,2310.5456495
309,2315.5556494999996
310,2320.5556495
311,2325.5656495000003
312,2330.5756495
313,2335.5856495
314,2340.5956495
315,2345.6056495
316,2350.6156495
317,2355.6156495
318,2360.6256495000002
319,2365.6356495
320,2370.6456495
321,2375.6556495
322,2380.6656495
323,2385.6756495
324,2390.6856495
325,2395.6856494999997
